C=0.01, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.199896
C=0.012589254117941668, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.200076
C=0.015848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.221791
C=0.01995262314968879, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.208154
C=0.025118864315095794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.207096
C=0.01, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.201525
C=0.012589254117941668, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.200006
C=0.015848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.219693
C=0.01995262314968879, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.213738
C=0.025118864315095794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.207989
C=0.01, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.204322
C=0.012589254117941668, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.204915
C=0.015848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.204765
C=0.01995262314968879, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.204659
C=0.025118864315095794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.221984
C=0.05011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.235434
C=0.0630957344480193, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.228291
C=0.07943282347242814, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.228670
C=0.1, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.233075
C=0.12589254117941673, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.244678
C=0.15848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.247057
C=0.19952623149688792, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.265487
C=0.25118864315095796, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.260613
C=0.31622776601683794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.271630
C=0.3981071705534972, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.285617
C=0.5011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.282578
C=0.6309573444801932, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.297501
C=0.7943282347242815, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.313870
C=1.0, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.320204
C=1.2589254117941673, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.325646
C=1.5848931924611136, Train Accuracy: 0.9024133263120536, Test Accuracy: 0.9780419901682155, Cost Time: 0 days 00:00:00.341492
C=1.9952623149688797, Train Accuracy: 0.9029790377362642, Test Accuracy: 0.9778418795815503, Cost Time: 0 days 00:00:00.356582
C=2.51188643150958, Train Accuracy: 0.9029790377362642, Test Accuracy: 0.9778418795815503, Cost Time: 0 days 00:00:00.369779
C=3.1622776601683795, Train Accuracy: 0.9030526491405725, Test Accuracy: 0.977516625056937, Cost Time: 0 days 00:00:00.400788
C=3.981071705534973, Train Accuracy: 0.9032056552691686, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.455036
C=5.011872336272724, Train Accuracy: 0.9032320823304795, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.437378
C=6.309573444801933, Train Accuracy: 0.9032844848322836, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.460503
C=7.943282347242816, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.509175
