C=0.03162277660168379, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.590127
C=0.03981071705534971, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:03.191405
C=0.05011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.769695
C=0.0630957344480193, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.846363
C=0.07943282347242814, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.945365
C=0.1, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:03.017165
C=0.12589254117941673, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:03.176400
C=0.15848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:03.291457
C=0.19952623149688792, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:03.390365
C=0.25118864315095796, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:03.598322
C=0.31622776601683794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:03.694101
C=0.3981071705534972, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:03.836903
C=0.5011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:03.954928
C=0.6309573444801932, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:04.052404
C=0.7943282347242815, Train Accuracy: 0.9036734619120607, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:04.173484
C=1.0, Train Accuracy: 0.9064646316080137, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:04.327297
C=1.2589254117941673, Train Accuracy: 0.9068786133548352, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:04.373083
C=1.5848931924611136, Train Accuracy: 0.907010005217938, Test Accuracy: 0.9783946861354664, Cost Time: 0 days 00:00:04.535172
C=1.9952623149688797, Train Accuracy: 0.9071332282572236, Test Accuracy: 0.9783946861354664, Cost Time: 0 days 00:00:04.574674
C=2.51188643150958, Train Accuracy: 0.9071834959229906, Test Accuracy: 0.9783946861354664, Cost Time: 0 days 00:00:04.822690
C=3.1622776601683795, Train Accuracy: 0.9071834959229906, Test Accuracy: 0.9783946861354664, Cost Time: 0 days 00:00:04.969147
C=3.981071705534973, Train Accuracy: 0.9071834959229906, Test Accuracy: 0.9783946861354664, Cost Time: 0 days 00:00:05.168500
C=5.011872336272724, Train Accuracy: 0.9072102732693557, Test Accuracy: 0.9783946861354664, Cost Time: 0 days 00:00:05.289147
C=6.309573444801933, Train Accuracy: 0.9072344191102346, Test Accuracy: 0.9783946861354664, Cost Time: 0 days 00:00:05.505270
C=7.943282347242816, Train Accuracy: 0.9074283174497382, Test Accuracy: 0.9781842309418602, Cost Time: 0 days 00:00:05.662361
C=10.0, Train Accuracy: 0.907551540489024, Test Accuracy: 0.9781248126008165, Cost Time: 0 days 00:00:05.717573
C=12.589254117941675, Train Accuracy: 0.907551540489024, Test Accuracy: 0.9780652746823002, Cost Time: 0 days 00:00:05.840616
C=15.848931924611142, Train Accuracy: 0.9076559963251906, Test Accuracy: 0.9779146534958792, Cost Time: 0 days 00:00:05.952735
C=19.952623149688797, Train Accuracy: 0.9076817131825906, Test Accuracy: 0.9779146534958792, Cost Time: 0 days 00:00:06.136113
C=25.11886431509581, Train Accuracy: 0.9077556630018716, Test Accuracy: 0.9778855894375551, Cost Time: 0 days 00:00:06.319499
C=31.622776601683793, Train Accuracy: 0.9077556630018716, Test Accuracy: 0.9778855894375551, Cost Time: 0 days 00:00:06.502761
C=39.810717055349734, Train Accuracy: 0.9080081894082533, Test Accuracy: 0.9778017902877133, Cost Time: 0 days 00:00:06.672763
C=50.11872336272725, Train Accuracy: 0.9082595848885944, Test Accuracy: 0.9776914210889264, Cost Time: 0 days 00:00:06.847269
C=63.09573444801933, Train Accuracy: 0.9086110817446901, Test Accuracy: 0.9773233069348018, Cost Time: 0 days 00:00:07.033727
C=79.43282347242817, Train Accuracy: 0.9089726334278839, Test Accuracy: 0.9768564550984088, Cost Time: 0 days 00:00:07.391497
C=100.0, Train Accuracy: 0.9091544132835402, Test Accuracy: 0.9764876747809942, Cost Time: 0 days 00:00:07.655667
C=125.89254117941675, Train Accuracy: 0.9093623684641716, Test Accuracy: 0.9763255610328714, Cost Time: 0 days 00:00:07.978353
C=158.48931924611142, Train Accuracy: 0.9096625543059285, Test Accuracy: 0.9759280053125418, Cost Time: 0 days 00:00:08.380792
C=199.52623149688807, Train Accuracy: 0.9100968333677341, Test Accuracy: 0.975620649540252, Cost Time: 0 days 00:00:08.736375
C=251.18864315095823, Train Accuracy: 0.9106346306203215, Test Accuracy: 0.9751183800025581, Cost Time: 0 days 00:00:09.060700
