C=0.01, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.261957
C=0.012589254117941668, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.280285
C=0.015848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.310685
C=0.01995262314968879, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.352042
C=0.025118864315095794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.401198
C=0.01, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.251172
C=0.012589254117941668, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.273811
C=0.015848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.314186
C=0.01995262314968879, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.358016
C=0.025118864315095794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.414217
C=0.01, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.247753
C=0.012589254117941668, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.272747
C=0.015848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.303519
C=0.01995262314968879, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.366317
C=0.025118864315095794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.426936
C=0.05011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.594799
C=0.0630957344480193, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.639881
C=0.07943282347242814, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.663065
C=0.1, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:00.684216
C=0.12589254117941673, Train Accuracy: 0.9021188806948204, Test Accuracy: 0.9784233646377948, Cost Time: 0 days 00:00:00.688881
C=0.15848931924611134, Train Accuracy: 0.9025299999139755, Test Accuracy: 0.9783047230835904, Cost Time: 0 days 00:00:00.696910
C=0.19952623149688792, Train Accuracy: 0.9029790377362642, Test Accuracy: 0.9778690571872032, Cost Time: 0 days 00:00:00.715024
C=0.25118864315095796, Train Accuracy: 0.9029790377362642, Test Accuracy: 0.9778690571872032, Cost Time: 0 days 00:00:00.737995
C=0.31622776601683794, Train Accuracy: 0.9029790377362642, Test Accuracy: 0.9778119714158319, Cost Time: 0 days 00:00:00.727277
C=0.3981071705534972, Train Accuracy: 0.9032056552691686, Test Accuracy: 0.977453996690431, Cost Time: 0 days 00:00:00.752664
C=0.5011872336272722, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.977453996690431, Cost Time: 0 days 00:00:00.750368
C=0.6309573444801932, Train Accuracy: 0.9029596089717995, Test Accuracy: 0.9769130471424348, Cost Time: 0 days 00:00:00.753654
C=0.7943282347242815, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.977453996690431, Cost Time: 0 days 00:00:00.753494
C=1.0, Train Accuracy: 0.9032878918000824, Test Accuracy: 0.9772827393763166, Cost Time: 0 days 00:00:00.769674
C=1.2589254117941673, Train Accuracy: 0.9029596089717995, Test Accuracy: 0.9769402247480877, Cost Time: 0 days 00:00:00.755369
C=1.5848931924611136, Train Accuracy: 0.9031868816990722, Test Accuracy: 0.9772541964906308, Cost Time: 0 days 00:00:00.772328
C=1.9952623149688797, Train Accuracy: 0.9029596089717995, Test Accuracy: 0.9769402247480877, Cost Time: 0 days 00:00:00.771287
C=2.51188643150958, Train Accuracy: 0.902479032279769, Test Accuracy: 0.9763745849469883, Cost Time: 0 days 00:00:00.781612
C=3.1622776601683795, Train Accuracy: 0.9027217721568134, Test Accuracy: 0.9764491062896822, Cost Time: 0 days 00:00:00.784231
C=3.981071705534973, Train Accuracy: 0.9029045175949408, Test Accuracy: 0.9766387720227876, Cost Time: 0 days 00:00:00.788564
C=5.011872336272724, Train Accuracy: 0.9029596089717995, Test Accuracy: 0.9767968070010518, Cost Time: 0 days 00:00:00.788679
C=6.309573444801933, Train Accuracy: 0.9021970223608828, Test Accuracy: 0.9756160971421884, Cost Time: 0 days 00:00:00.810599
C=7.943282347242816, Train Accuracy: 0.9025320923901493, Test Accuracy: 0.9760822502212401, Cost Time: 0 days 00:00:00.807839
