C=0.03162277660168379, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.228339
C=0.03981071705534971, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.231317
C=0.05011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.227666
C=0.0630957344480193, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.227307
C=0.07943282347242814, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.240642
C=0.1, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.239307
C=0.12589254117941673, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.261074
C=0.15848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.258572
C=0.19952623149688792, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.256697
C=0.25118864315095796, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.257535
C=0.31622776601683794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.280715
C=0.3981071705534972, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.272439
C=0.5011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.337929
C=0.6309573444801932, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.291794
C=0.7943282347242815, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.317254
C=1.0, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.328006
C=1.2589254117941673, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784237770445574, Cost Time: 0 days 00:00:00.336262
C=1.5848931924611136, Train Accuracy: 0.9024133263120536, Test Accuracy: 0.9780419901682155, Cost Time: 0 days 00:00:00.364440
C=1.9952623149688797, Train Accuracy: 0.9029790377362642, Test Accuracy: 0.9778418795815503, Cost Time: 0 days 00:00:00.376180
C=2.51188643150958, Train Accuracy: 0.9029790377362642, Test Accuracy: 0.9778418795815503, Cost Time: 0 days 00:00:00.363310
C=3.1622776601683795, Train Accuracy: 0.9030526491405725, Test Accuracy: 0.977516625056937, Cost Time: 0 days 00:00:00.405379
C=3.981071705534973, Train Accuracy: 0.9032056552691686, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.426357
C=5.011872336272724, Train Accuracy: 0.9032320823304795, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.461773
C=6.309573444801933, Train Accuracy: 0.9032844848322836, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.490855
C=7.943282347242816, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.506248
C=10.0, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.527316
C=12.589254117941675, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.526959
C=15.848931924611142, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.528395
C=19.952623149688797, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.555401
C=25.11886431509581, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.575009
C=31.622776601683793, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.576671
C=39.810717055349734, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.576970
C=50.11872336272725, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.594288
C=63.09573444801933, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.601089
C=79.43282347242817, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.604086
C=100.0, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.631195
C=125.89254117941675, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.651397
C=158.48931924611142, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.641453
C=199.52623149688807, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9774268190847781, Cost Time: 0 days 00:00:00.694278
C=251.18864315095823, Train Accuracy: 0.9033383968505874, Test Accuracy: 0.9773967167367951, Cost Time: 0 days 00:00:00.694060
