C=0.03162277660168379, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.981309
C=0.03981071705534971, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.981922
C=0.05011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.966990
C=0.0630957344480193, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.960687
C=0.07943282347242814, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.012527
C=0.1, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.976917
C=0.12589254117941673, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.037295
C=0.15848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.013230
C=0.19952623149688792, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.034953
C=0.25118864315095796, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.046056
C=0.31622776601683794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.034904
C=0.3981071705534972, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.033020
C=0.5011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.051330
C=0.6309573444801932, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.031784
C=0.7943282347242815, Train Accuracy: 0.9022101628654234, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.039646
C=1.0, Train Accuracy: 0.9022343087063024, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.059720
C=1.2589254117941673, Train Accuracy: 0.9022343087063024, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.106815
C=1.5848931924611136, Train Accuracy: 0.9022343087063024, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.319710
C=1.9952623149688797, Train Accuracy: 0.902506095547917, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.173989
C=2.51188643150958, Train Accuracy: 0.902506095547917, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.148949
C=3.1622776601683795, Train Accuracy: 0.9028976084067688, Test Accuracy: 0.9784233646377948, Cost Time: 0 days 00:00:02.198857
C=3.981071705534973, Train Accuracy: 0.9030978139141942, Test Accuracy: 0.9782485645937586, Cost Time: 0 days 00:00:02.188557
