C=0.03162277660168379, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 4.936979
C=0.03981071705534971, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.001349
C=0.05011872336272722, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.054157
C=0.0630957344480193, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.098728
C=0.07943282347242814, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.170851
C=0.1, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.291457
C=0.12589254117941673, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.430387
C=0.15848931924611134, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.514426
C=0.19952623149688792, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.620103
C=0.25118864315095796, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.731807
C=0.31622776601683794, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 5.920483
C=0.3981071705534972, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 6.076779
C=0.5011872336272722, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 6.217591
C=0.6309573444801932, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 6.415851
C=0.7943282347242815, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 6.571513
C=1.0, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 6.808469
C=1.2589254117941673, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 7.176163
C=1.5848931924611136, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 7.226765
C=1.9952623149688797, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 7.500708
C=2.51188643150958, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 7.810520
C=3.1622776601683795, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 7.996610
C=3.981071705534973, Train Accuracy: 0.902041, Test Accuracy: 0.978451, Time (s): 8.214334
C=5.011872336272724, Train Accuracy: 0.902041, Test Accuracy: 0.978396, Time (s): 8.572915
C=6.309573444801933, Train Accuracy: 0.902041, Test Accuracy: 0.978396, Time (s): 8.868278
C=7.943282347242816, Train Accuracy: 0.902041, Test Accuracy: 0.978396, Time (s): 9.183445
C=10.0, Train Accuracy: 0.902093, Test Accuracy: 0.978396, Time (s): 9.508293
C=12.589254117941675, Train Accuracy: 0.902118, Test Accuracy: 0.978367, Time (s): 9.954199
C=15.848931924611142, Train Accuracy: 0.902118, Test Accuracy: 0.978282, Time (s): 10.325785
C=19.952623149688797, Train Accuracy: 0.902198, Test Accuracy: 0.978226, Time (s): 10.971354
C=25.11886431509581, Train Accuracy: 0.902198, Test Accuracy: 0.978226, Time (s): 11.115042
C=31.622776601683793, Train Accuracy: 0.902224, Test Accuracy: 0.978226, Time (s): 11.579812
C=39.810717055349734, Train Accuracy: 0.902224, Test Accuracy: 0.978199, Time (s): 11.814472
C=50.11872336272725, Train Accuracy: 0.902251, Test Accuracy: 0.978110, Time (s): 12.377296
C=63.09573444801933, Train Accuracy: 0.902277, Test Accuracy: 0.977932, Time (s): 12.891650
C=79.43282347242817, Train Accuracy: 0.902302, Test Accuracy: 0.977878, Time (s): 13.247390
C=100.0, Train Accuracy: 0.902496, Test Accuracy: 0.977878, Time (s): 13.909305
C=125.89254117941675, Train Accuracy: 0.902593, Test Accuracy: 0.977824, Time (s): 14.333835
C=158.48931924611142, Train Accuracy: 0.902715, Test Accuracy: 0.977613, Time (s): 15.036637
C=199.52623149688807, Train Accuracy: 0.902814, Test Accuracy: 0.977501, Time (s): 15.705956
C=251.18864315095823, Train Accuracy: 0.902814, Test Accuracy: 0.977440, Time (s): 16.205038
